Datum	F	G	N	S	V
2020-03-05		Betreuung von Pflegebedürftigen|Krankenpflege			Betreuung von Pflegebedürftigen|Krankenpflege
2020-03-10		Raumordnung|Umwelt|Europäische Union|Flüchtling|Raumordnung|Umwelt|Energie|Umwelt	Raumordnung|Umwelt|Raumordnung|Umwelt|Energie|Umwelt	Raumordnung|Umwelt|Raumordnung|Umwelt|Energie|Umwelt	Raumordnung|Umwelt|Europäische Union|Flüchtling|Raumordnung|Umwelt|Energie|Umwelt
2020-03-11	Strafrecht	Bildung|Organisation des Unterrichtswesens|Umwelt|Bildung|Organisation des Unterrichtswesens|Strafrecht	Bildung|Organisation des Unterrichtswesens|Umwelt|Bildung|Organisation des Unterrichtswesens|Strafrecht	Bildung|Organisation des Unterrichtswesens|Umwelt|Bildung|Organisation des Unterrichtswesens|Strafrecht	Bildung|Organisation des Unterrichtswesens|Umwelt|Bildung|Organisation des Unterrichtswesens|Strafrecht
2020-03-14		Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Finanzwesen|Gesundheit|Haushaltsplan|Verwaltungsrecht|Zivilschutz			Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Finanzwesen|Gesundheit|Haushaltsplan|Verwaltungsrecht|Zivilschutz
2020-03-15	Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Europäische Union|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb		Finanzwesen|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Wirtschaft	Arbeitsrecht|Einkommen|Finanzwesen|Gesundheit|Handel|Industrie|soziale Sicherheit|Steuerwesen|Unternehmen und Wettbewerb|Verwaltung und Entlohnung des Personals	
2020-03-19		Arbeitsrecht|Gesundheit|Steuerwesen|Telekommunikation|Verfassung|Wirtschaft		Gesundheit|Verwaltungsrecht|Bürgerliches Recht|Elektrizitätsindustrie|Energie|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Verfassung	Arbeitsrecht|Gesundheit|Steuerwesen|Telekommunikation|Verfassung|Wirtschaft
2020-03-20	Gesundheit|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Gerichtswesen|Beschäftigung und Arbeitsbedingungen|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb	Energie|Gesundheit	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Wohnungspolitik|Energie|Gesundheit|direkt gewählte Kammer|Gesundheit|Wirtschaft|Zweite Kammer	Beschäftigung und Arbeitsbedingungen|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Einkommen|Gesundheit|Steuerwesen|Verwaltung und Entlohnung des Personals|Beschäftigung und Arbeitsbedingungen|Einkommen|Gesundheit|Verwaltung und Entlohnung des Personals|Exekutive|Gesundheit|Frau|Gesundheit|Gleichbehandlung|junger Mensch|Opferhilfe|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Vereinsleben|Versammlungsfreiheit	Energie|Gesundheit
2020-04-02		Gesundheit|Haushaltsplan|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Bildung|Finanzwesen|Gesundheit|Informatik|Information und Informationsverarbeitung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Steuerwesen|Strafrecht|Wirtschaft|ausländischer Staatsangehöriger|Bildung|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Presse|Verfassung|Verkehr|Verwaltungsrecht		Arbeitsrecht|Gesundheit|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Bürgerliches Recht|Gesundheit|Bürgerliches Recht|Gesundheit	Gesundheit|Haushaltsplan|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Bildung|Finanzwesen|Gesundheit|Informatik|Information und Informationsverarbeitung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Steuerwesen|Strafrecht|Wirtschaft|ausländischer Staatsangehöriger|Bildung|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Presse|Verfassung|Verkehr|Verwaltungsrecht
2020-04-03	Europäische Union|Gesundheit|Währungsbeziehungen|Exekutive|Wirtschaft|Exekutive|Gesundheit|Informatik|Information und Informationsverarbeitung|Presse|Strafrecht	Arbeitslosenversicherung|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Steuerwesen|Europäische Union|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft	ausländischer Staatsangehöriger|Gesundheit|Flüchtling|Gesundheit|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Gesundheit|parlamentarischer Ausschuss|Familienleistungsausgleich|Steuerwesen|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Behinderter|Einkommen|Verwaltung und Entlohnung des Personals|Zivildienst|Forschung und geistiges Eigentum|Gesundheit|Informatik|Information und Informationsverarbeitung|soziale Sicherheit|Wissenschaften	Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Sport|Vereinsleben|Versammlungsfreiheit|Gesundheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Gesundheit|parlamentarischer Ausschuss|Gesundheit|Wohnungspolitik|Apotheke|Gesundheit|Familie|Gesundheit|Gesundheit|Umwelt|Wirtschaft|ausländischer Staatsangehöriger|Familienleistungsausgleich|Gesundheit|Arbeitslosenversicherung|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Steuerwesen|Arbeitslosenversicherung|Europäische Union|Gesundheit|öffentliches Eigentum|Gesundheit|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Handel|Industrie|Preis|Steuerwesen|Strafrecht|Unternehmen und Wettbewerb	Arbeitslosenversicherung|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Steuerwesen|Europäische Union|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft
2020-04-22	Arbeitsrecht|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Gesundheit|parlamentarischer Ausschuss|Verfassung|Gesundheit|Informatik|Information und Informationsverarbeitung|Strafrecht|Exekutive|Gesundheit|Verfassung|Gesundheit|soziale Sicherheit|Gesundheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|Statistik|Gesundheit|Internet|Menschenrechte|Exekutive|Gesundheit|Politische Partei|Exekutive|Gesundheit|Verfassung|Land- und Forstwirtschaft, Fischerei|Gesundheit|Informatik|Information und Informationsverarbeitung|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Informatik|Information und Informationsverarbeitung|Statistik|Handel|Industrie|Unternehmen und Wettbewerb|Berufsverband|Beschäftigung und Arbeitsbedingungen|Europäische Union|Informatik|Information und Informationsverarbeitung|Währungsbeziehungen|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Bildung|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb	Gesundheit|Bürgerliches Recht|Gesundheit|Informatik|Information und Informationsverarbeitung|Strafrecht|Vereinsleben|Versammlungsfreiheit|Flüchtling|Gesundheit|Arbeitsrecht|Gesundheit|Sozialpolitik|Betreuung von Pflegebedürftigen|Gesundheit|Informatik|Information und Informationsverarbeitung|Krankenpflege|Energie|Gesundheit|Buchprüfung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Apotheke|Gesundheit|Informatik|Information und Informationsverarbeitung|Statistik|Verteidigung|ausländischer Staatsangehöriger|Gesundheit|Informatik|Information und Informationsverarbeitung|Land- und Forstwirtschaft, Fischerei|Verwaltungsrecht|Bildung|Finanzwesen|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|öffentliches Eigentum|Organisation des Unterrichtswesens|Steuerwesen|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Gesundheit|Kulturpolitik|Kunst|Wirtschaft|Arbeitsrecht|Einkommen|soziale Sicherheit|Steuerwesen|Verwaltung und Entlohnung des Personals|Kulturpolitik|Kunst|Sport|Arbeitslosenversicherung|Berufsverband|Familienleistungsausgleich|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens	Land- und Forstwirtschaft, Fischerei|Straßenverkehr|Gesundheit|Steuerwesen|Gesundheit|Informatik|Information und Informationsverarbeitung|Veröffentlichung des Gesetzes|Europäische Union|Flüchtling|Gesundheit|junger Mensch|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Gesundheit|parlamentarischer Ausschuss|Verfassung|Altersversorgungssystem|Flüchtling|Internationale Beziehungen|Familienleistungsausgleich|Steuerwesen|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Haushaltskontrolle|Politische Partei|Forschung und geistiges Eigentum|Gesundheit|Umwelt|Wissenschaften|Agrarerzeugnisse und Lebensmittel|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt|Informatik|Information und Informationsverarbeitung|Verfassung|Politische Partei|Vereinsleben|Versammlungsfreiheit|Gesundheit|Grenze|Tiermedizin|Tierschutz|Energie|Umwelt|Wasser|Wasserbewirtschaftung|Gesundheit|Informatik|Information und Informationsverarbeitung|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Haushaltskontrolle|Öffentlicher Sektor|Verfassung|Land- und Forstwirtschaft, Fischerei|Umwelt|Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Gesundheit|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Flüchtling|Gesundheit|Gesundheit|Presse|Gesundheit|öffentliche Sicherheit|Strafrecht|Verwaltungsrecht|Arbeitsrecht|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Energie|Raumordnung|Altersversorgungssystem|Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|Forschung und geistiges Eigentum|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Wissenschaften|Bildung|Organisation des Unterrichtswesens|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Gesundheit|parlamentarischer Ausschuss|Verfassung|Gesundheit|Sozialpolitik|Arbeitslosenversicherung|Gesundheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|Haushaltsplan|Arbeitsrecht|Gesundheit|Arbeitslosenversicherung|Gesundheit|Arbeitsrecht|Familie|Frau|Gesundheit|Gleichbehandlung|soziale Sicherheit|Elektrizitätsindustrie|Gesundheit|Handel|Industrie|soziale Sicherheit|Steuerwesen|Unternehmen und Wettbewerb|Verfassung|Beschäftigung und Arbeitsbedingungen|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Steuerwesen|Gesundheit|Gesundheit|vorschulische Erziehung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Sozialpolitik|Vereinsleben|Versammlungsfreiheit|Einkommen|Gesundheit|Verwaltung und Entlohnung des Personals|Zivildienst|Gesundheit|junger Mensch|Arbeitslosenversicherung|Handel|Industrie|öffentliches Eigentum|Unternehmen und Wettbewerb|Luftverkehr|Umwelt|Steuerwesen|Bildung|Organisation des Unterrichtswesens	Gesundheit|Bürgerliches Recht|Gesundheit|Informatik|Information und Informationsverarbeitung|Strafrecht|Vereinsleben|Versammlungsfreiheit|Flüchtling|Gesundheit|Arbeitsrecht|Gesundheit|Sozialpolitik|Betreuung von Pflegebedürftigen|Gesundheit|Informatik|Information und Informationsverarbeitung|Krankenpflege|Energie|Gesundheit|Buchprüfung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Apotheke|Gesundheit|Informatik|Information und Informationsverarbeitung|Statistik|Verteidigung|ausländischer Staatsangehöriger|Gesundheit|Informatik|Information und Informationsverarbeitung|Land- und Forstwirtschaft, Fischerei|Verwaltungsrecht|Bildung|Finanzwesen|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|öffentliches Eigentum|Organisation des Unterrichtswesens|Steuerwesen|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Gesundheit|Kulturpolitik|Kunst|Wirtschaft|Arbeitsrecht|Einkommen|soziale Sicherheit|Steuerwesen|Verwaltung und Entlohnung des Personals|Kulturpolitik|Kunst|Sport|Arbeitslosenversicherung|Berufsverband|Familienleistungsausgleich|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens
2020-04-27		ausländischer Staatsangehöriger|Flüchtling			ausländischer Staatsangehöriger|Flüchtling
2020-04-28	Gesundheit|Kulturpolitik|Kunst|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Umwelt|Exekutive|Gesundheit|Verfassung|Beschäftigung und Arbeitsbedingungen|Gesundheit|Europäische Union|Gesundheit|Umwelt|Betreuung von Pflegebedürftigen|Familie|Krankenpflege|Steuerwesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Berufsverband|Beschäftigung und Arbeitsbedingungen|Gesundheit|Berufsverband|Beschäftigung und Arbeitsbedingungen|Europäische Union|Finanzwesen|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Währungsbeziehungen|Wirtschaft|Informatik|Information und Informationsverarbeitung|Strafrecht|Bildung|Gesundheit|Organisation des Unterrichtswesens|Sport|Vereinsleben|Versammlungsfreiheit|Kulturpolitik|Kunst|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Kulturpolitik|Kunst|Sport	Land- und Forstwirtschaft, Fischerei|Umwelt|Gesundheit|Kulturpolitik|Kunst|Sport|Vereinsleben|Versammlungsfreiheit|Gesundheit|Gesundheit	Fernsehen|Hörfunk|Informatik|Information und Informationsverarbeitung|Gesundheit|Gesundheit|Handel|Industrie|Sport|Unternehmen und Wettbewerb|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Informatik|Information und Informationsverarbeitung|Verwaltungsorganisation|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Hochschulausbildung|Wissenschaften|Hochschulausbildung|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Gesundheit|Steuerwesen|Gesundheit|Informatik|Information und Informationsverarbeitung|öffentliche Verwaltung|öffentlicher Dienst|Ausweis|Gesundheit|Informatik|Information und Informationsverarbeitung|Gesundheit|Europäische Union|Flüchtling|junger Mensch|Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|Informatik|Information und Informationsverarbeitung|Strafrecht|Gesundheit|Flüchtling|Internationale Beziehungen	Exekutive|Gesundheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Umwelt|Arbeitsrecht|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Elektrizitätsindustrie|Arbeitslosenversicherung|Gesundheit|Politik der Zusammenarbeit|Gesundheit|junger Mensch|Tabak|Familie|Gesundheit|Sozialpolitik|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Gesundheit|Politik der Zusammenarbeit|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Arbeitsrecht|Frau|Gesundheit|Gleichbehandlung|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|Strafrecht|Gesundheit|Sport|Vereinsleben|Versammlungsfreiheit	Land- und Forstwirtschaft, Fischerei|Umwelt|Gesundheit|Kulturpolitik|Kunst|Sport|Vereinsleben|Versammlungsfreiheit|Gesundheit|Gesundheit
2020-05-05		Gesundheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Forschung und geistiges Eigentum|Gesundheit|Umwelt|Wissenschaften	Gesundheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Forschung und geistiges Eigentum|Gesundheit|Umwelt|Wissenschaften		Gesundheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Forschung und geistiges Eigentum|Gesundheit|Umwelt|Wissenschaften
2020-05-13	Gesundheit|Informatik|Information und Informationsverarbeitung|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Sozialpolitik|Unternehmen und Wettbewerb|Gesundheit|Haushaltsplan	Beschäftigung und Arbeitsbedingungen|Einkommen|Gesundheit|Verwaltung und Entlohnung des Personals|Internationale Beziehungen|Menschenrechte|Wahl|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Vereinsleben|Versammlungsfreiheit|Gesundheit|Steuerwesen|Gesetzgebungsverfahren|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|Gesundheit|Sozialpolitik	Finanzausgleich|Gesundheit|Politik der Zusammenarbeit|Strafrecht|Gesundheit|Haushaltsplan	ethnische Gruppe|Politische Partei|Presse|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Gesundheit|Informatik|Information und Informationsverarbeitung|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Gesundheit|Haushaltsplan	Beschäftigung und Arbeitsbedingungen|Einkommen|Gesundheit|Verwaltung und Entlohnung des Personals|Internationale Beziehungen|Menschenrechte|Wahl|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Vereinsleben|Versammlungsfreiheit|Gesundheit|Steuerwesen|Gesetzgebungsverfahren|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|Gesundheit|Sozialpolitik
2020-05-19		Gesundheit|junger Mensch	Gesundheit|junger Mensch		Gesundheit|junger Mensch
2020-05-20		Land- und Forstwirtschaft, Fischerei|Umwelt|Land- und Forstwirtschaft, Fischerei|Umwelt|Agrarerzeugnisse und Lebensmittel|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt	Land- und Forstwirtschaft, Fischerei|Umwelt|Agrarerzeugnisse und Lebensmittel|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt		Land- und Forstwirtschaft, Fischerei|Umwelt|Land- und Forstwirtschaft, Fischerei|Umwelt|Agrarerzeugnisse und Lebensmittel|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt
2020-05-26	ethnische Gruppe|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Sozialpolitik|Unternehmen und Wettbewerb|Gesundheit|Strafrecht|Verwaltungsrecht|Gesundheit|Kulturpolitik|Kunst|Sport|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Kulturpolitik|Kunst|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Politische Partei|Bildung|Gesundheit|Organisation des Unterrichtswesens|Sport|Arbeitsrecht|Bibliothek|Museum|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Flüchtling|Gesundheit|Gesundheit|Presse|Statistik|Gesundheit|Gesundheit|Sport|Vereinsleben|Versammlungsfreiheit|Haushaltskontrolle|Öffentlicher Sektor	Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Gliedstaat|Raumordnung|Umwelt|ethnische Gruppe	Gesundheit|Sozialpolitik|Arbeitsrecht|Berufsverband|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Berufsverband|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Raumordnung|Umwelt|Gesundheit|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Raumordnung|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb|direkt gewählte Kammer|Öffentliche Finanzen und Haushaltspolitik|öffentliche Sicherheit|parlamentarischer Ausschuss|Öffentliche Finanzen und Haushaltspolitik|Raumordnung|Umwelt|Gesundheit|Steuerwesen|Bürgerliches Recht|Familie|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Exekutive|Gesundheit|Gesundheit|Wirtschaft|Gesundheit|Tourismus|Gesundheit|Gesundheit|vorschulische Erziehung|Haushaltskontrolle|Exekutive|Gesundheit|ethnische Gruppe|Gesundheit|Straßenverkehr|Gesundheit|Strafrecht|Gesundheit|Kulturpolitik|Kunst|Statistik|Forschung und geistiges Eigentum|Informatik|Information und Informationsverarbeitung|Statistik|Wissenschaften|Gesundheit|Handel|Industrie|Sport|Unternehmen und Wettbewerb|Gerichtswesen|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Kulturpolitik|Kunst|Gesundheit|Tourismus|ethnische Gruppe|Gesundheit|Strafrecht|Verwaltungsrecht|Exekutive|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Politik der Zusammenarbeit|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Gesundheit|Kulturpolitik|Kunst	Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Gliedstaat|Raumordnung|Umwelt|ethnische Gruppe
2020-05-27	Gesundheit|Land- und Forstwirtschaft, Fischerei|vorschulische Erziehung|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Ausbildungsbeihilfe|Gesundheit|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Tourismus|Wirtschaft|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Straßenverkehr|Öffentliche Finanzen und Haushaltspolitik|Verkehr|Abfall|Abfallwirtschaft|Umwelt|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Verteidigung	Exekutive|Internationale Beziehungen|Menschenrechte|Öffentliche Finanzen und Haushaltspolitik|Sozialpolitik|Verteidigung|Gesundheit|Verteidigung|Zivilschutz	Gesundheit|Tiermedizin|Tierschutz|Behinderter|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Politische Partei|Strafrecht|Bauindustrie und öffentliches Bauwesen|Baupolitik|Haushaltskontrolle|Gesundheit|Zivildienst|vorschulische Erziehung|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Öffentliche Finanzen und Haushaltspolitik|Verteidigung	Finanzausgleich|Gesundheit|Gesundheit|Steuerwesen|Frau|Gesundheit|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Bildung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|vorschulische Erziehung|Öffentliche Finanzen und Haushaltspolitik|Verteidigung	Exekutive|Internationale Beziehungen|Menschenrechte|Öffentliche Finanzen und Haushaltspolitik|Sozialpolitik|Verteidigung|Gesundheit|Verteidigung|Zivilschutz
2020-05-28	ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Europäische Union|Gesundheit|Gesundheit|Sozialpolitik|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Bildung|Familienleistungsausgleich|Gesundheit|Organisation des Unterrichtswesens|Exekutive|Misstrauensantrag|Gesundheit|soziale Sicherheit|Gesundheit|Preis|Frau|Gesundheit|Gleichbehandlung|Gesundheit|Land- und Forstwirtschaft, Fischerei|soziale Sicherheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik	Frau|Gesundheit|Gleichbehandlung|öffentliche Sicherheit|Gesundheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Frau|Gesundheit|Gleichbehandlung	Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|ausländischer Staatsangehöriger|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Finanzwesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Altersversorgungssystem|Menschenrechte|Gesundheit|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|soziale Sicherheit	Finanzwesen|Internationale Beziehungen|Menschenrechte|Arbeitsrecht|Handel|Industrie|Unternehmen und Wettbewerb|Finanzausgleich|Vereinsleben|Versammlungsfreiheit|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Menschenrechte|Personenstand|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|junger Mensch|Sekundarstufe|Tourismus|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Opferhilfe|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Finanzwesen|Sozialpolitik|Vereinsleben|Versammlungsfreiheit|Finanzwesen|Gesundheit|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Finanzwesen|Finanzausgleich|Finanzwesen|Vereinsleben|Versammlungsfreiheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|Tiermedizin|Tierschutz|Vereinsleben|Versammlungsfreiheit|Finanzwesen|Sozialpolitik|Vereinsleben|Versammlungsfreiheit|Gesundheit|soziale Sicherheit|Forschung und geistiges Eigentum|Frau|Gesundheit|Gleichbehandlung|Sozialpolitik|Wissenschaften|Frau|Gesundheit|Gleichbehandlung|junger Mensch|Opferhilfe|Arbeitslosenversicherung|Gesundheit|Behinderter|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Steuerwesen|Europäische Union|Menschenrechte|Gesundheit|soziale Sicherheit	Frau|Gesundheit|Gleichbehandlung|öffentliche Sicherheit|Gesundheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Frau|Gesundheit|Gleichbehandlung
